,index,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temp,Winds Speed
0,1,Punta Arenas,75,CL,1585581254,66,-53.15,-70.92,50.38,23.04
1,2,New Norfolk,50,AU,1585581254,62,-42.78,147.06,50.29,6.93
2,8,Cape Town,9,ZA,1585581250,60,-33.93,18.42,69.84,25.28
3,11,Bluff,1,NZ,1585581019,92,-46.6,168.33,48.99,1.01
4,13,Vaini,75,TO,1585581258,88,-21.2,-175.2,78.8,5.82
5,14,Te Anau,0,NZ,1585581092,68,-45.42,167.72,49.01,0.63
6,17,Mar del Plata,90,AR,1585581182,82,-38.0,-57.56,65.14,16.11
7,19,Puerto Ayora,40,EC,1585581259,83,-0.74,-90.35,82.11,11.41
8,21,Fort Beaufort,0,ZA,1585581260,33,-32.77,26.63,82.0,8.41
9,22,Port Alfred,0,ZA,1585581028,88,-33.59,26.89,71.01,5.99
10,24,Vao,11,NC,1585581261,76,-22.67,167.48,74.01,21.25
11,27,Souillac,75,MU,1585581262,94,-20.52,57.52,81.25,10.29
12,28,Kawalu,100,ID,1585581262,81,-7.38,108.21,74.82,1.5
13,29,Hermanus,9,ZA,1585581262,65,-34.42,19.23,72.81,5.01
14,30,Mataura,1,NZ,1585581263,92,-46.19,168.86,48.99,1.01
15,31,Atuona,29,PF,1585581264,79,-9.8,-139.03,82.47,20.8
16,33,Necochea,100,AR,1585581264,98,-38.55,-58.74,61.39,1.01
17,35,Rikitea,37,PF,1585581265,82,-23.12,-134.97,78.08,11.1
18,40,Saldanha,0,ZA,1585581266,43,-33.01,17.94,71.6,17.22
19,41,Mayumba,97,GA,1585581267,81,-3.43,10.66,84.33,7.76
20,42,Ushuaia,20,AR,1585581219,75,-54.8,-68.3,46.4,10.29
21,44,Saint-Philippe,90,RE,1585581268,88,-21.36,55.77,76.32,4.7
22,48,Hobart,61,AU,1585581270,62,-42.88,147.33,50.74,6.93
23,53,Lorengau,98,PG,1585581271,79,-2.02,147.27,82.06,7.96
24,56,Henties Bay,59,NA,1585581272,84,-22.12,14.28,64.99,7.0
25,60,Alice Springs,66,AU,1585581232,40,-23.7,133.88,73.4,4.7
26,61,Geraldton,40,AU,1585581082,68,-28.77,114.6,66.29,14.99
27,63,Bredasdorp,0,ZA,1585581274,49,-34.53,20.04,69.35,9.17
28,64,Beloha,42,MG,1585581275,76,-25.17,45.05,74.19,13.87
29,72,Padang,100,ID,1585581277,76,-0.95,100.35,78.62,3.91
30,74,Sumbe,3,AO,1585581278,68,-11.21,13.84,84.29,10.36
31,80,Busselton,0,AU,1585581280,57,-33.65,115.33,54.43,4.85
32,82,Kiama,90,AU,1585581280,88,-34.68,150.87,66.24,10.29
33,83,Lüderitz,1,NA,1585581281,60,-26.65,15.16,71.6,19.46
34,87,Labuhan,100,ID,1585581282,78,-6.88,112.21,81.48,3.15
35,89,Boende,97,CD,1585581283,50,-0.22,20.87,85.84,2.08
36,90,East London,21,ZA,1585581283,78,-33.02,27.91,75.2,18.34
37,97,Kaitangata,64,NZ,1585581286,96,-46.28,169.85,55.0,1.01
38,100,Touros,75,BR,1585581287,88,-5.2,-35.46,80.6,5.82
39,109,Hithadhoo,0,MV,1585581290,67,-0.6,73.08,83.95,10.4
40,114,Bengkulu,100,ID,1585581174,84,-3.8,102.27,77.74,6.17
41,118,Lamu,11,KE,1585581292,68,-2.27,40.9,85.51,9.66
42,122,Lebu,0,CL,1585581294,47,-37.62,-73.65,60.06,15.7
43,131,Manoel Urbano,94,BR,1585581296,71,-8.84,-69.26,81.88,3.04
44,133,Port Elizabeth,0,ZA,1585581003,73,-33.92,25.57,73.4,13.87
45,138,Charters Towers,3,AU,1585581298,80,-20.1,146.27,70.36,5.84
46,140,Departamento de Maldonado,40,UY,1585581299,94,-34.67,-54.92,74.73,5.82
47,141,Mahébourg,75,MU,1585581299,94,-20.41,57.7,81.16,10.29
48,144,Saint-Pierre,90,RE,1585581300,88,-21.34,55.48,76.89,4.7
49,145,Mount Isa,30,AU,1585581301,53,-20.73,139.5,73.4,10.42
50,146,Prado,23,BR,1585581301,73,-17.34,-39.22,82.99,8.03
51,147,Oriximiná,72,BR,1585581302,61,-1.77,-55.87,87.76,5.37
52,155,Jacareacanga,75,BR,1585581304,88,-6.22,-57.75,80.6,3.36
53,167,Luena,46,AO,1585581200,49,-11.78,19.92,76.46,2.42
54,168,Arraial do Cabo,75,BR,1585581308,78,-22.97,-42.03,80.6,11.41
55,169,Mount Gambier,1,AU,1585581261,100,-37.83,140.77,53.6,10.29
56,172,Montepuez,3,MZ,1585581309,67,-13.13,39.0,75.47,5.32
57,174,Grand Gaube,75,MU,1585581309,94,-20.01,57.66,81.48,10.29
58,178,Dekar,93,BW,1585581070,25,-21.53,21.93,86.25,10.69
59,186,Avarua,20,CK,1585581312,78,-21.21,-159.78,78.8,6.93
60,192,Pão de Açúcar,99,BR,1585581314,47,-9.75,-37.44,89.28,10.6
61,193,Kimbe,99,PG,1585581314,90,-5.55,150.14,76.69,2.53
62,194,Paita,40,PE,1585581198,100,-5.09,-81.11,62.6,16.11
63,196,Castro,2,BR,1585581163,41,-24.79,-50.01,78.98,4.43
64,202,Sechura,16,PE,1585581316,69,-5.56,-80.82,77.63,7.23
65,206,Tuatapere,0,NZ,1585581318,92,-46.13,167.68,48.99,1.01
66,207,Fuerte Olimpo,21,PY,1585581318,44,-21.04,-57.87,95.23,5.39
67,208,Tolaga Bay,77,NZ,1585581318,85,-38.37,178.3,61.02,4.47
68,218,Koumac,55,NC,1585581321,78,-20.57,164.28,74.52,7.0
69,219,Namatanai,100,PG,1585581321,77,-3.67,152.43,81.72,7.63
70,220,Carnarvon,59,AU,1585581322,73,-24.87,113.63,73.4,17.22
71,221,Port Hedland,0,AU,1585581322,89,-20.32,118.57,84.2,9.17
72,223,Comodoro Rivadavia,0,AR,1585581289,51,-45.87,-67.5,62.6,1.12
73,231,Tual,74,ID,1585581324,71,-5.67,132.75,84.49,3.58
74,233,Kieta,98,PG,1585581325,80,-6.22,155.63,80.15,5.55
75,239,Yeppoon,40,AU,1585581327,83,-23.13,150.73,73.4,4.7
76,249,Rocha,2,UY,1585581333,61,-34.48,-54.33,79.84,8.25
77,257,Patacamaya,99,BO,1585581335,20,-17.23,-67.92,52.79,4.36
78,266,Bambous Virieux,75,MU,1585581337,94,-20.34,57.76,81.27,10.29
79,269,Nhulunbuy,15,AU,1585581338,88,-12.23,136.77,80.6,4.7
80,270,Port Lincoln,0,AU,1585581339,74,-34.73,135.87,61.66,7.36
81,276,Totoral,22,PE,1585581340,25,-17.41,-70.36,66.29,2.37
82,277,Waipawa,100,NZ,1585581340,82,-41.41,175.52,57.0,2.24
83,278,Urambo,18,TZ,1585581340,54,-5.07,32.05,79.74,0.63
84,282,Chui,0,UY,1585581342,64,-33.7,-53.46,78.91,6.96
85,283,Airai,77,TL,1585581342,67,-8.93,125.41,60.51,1.7
86,284,Mackay,75,AU,1585581342,94,-21.15,149.2,71.2,5.82
87,286,Koster,71,ZA,1585581343,29,-25.86,26.9,74.26,3.91
88,294,Inhambane,40,MZ,1585581345,54,-23.86,35.38,80.6,6.93
89,295,Tiarei,20,PF,1585581195,78,-17.53,-149.33,78.39,3.36
90,300,São Joaquim da Barra,65,BR,1585581347,74,-20.58,-47.85,78.8,5.82
91,301,Faanui,62,PF,1585581347,80,-16.48,-151.75,82.29,13.09
92,314,Santa Cruz de la Sierra,90,BO,1585581203,83,-17.8,-63.17,80.6,5.82
93,316,Pisco,75,PE,1585581351,30,-13.7,-76.22,72.21,2.24
94,319,Quatre Cocos,75,MU,1585581352,94,-20.21,57.76,81.32,10.29
95,320,Alta Floresta,20,BR,1585581353,66,-9.88,-56.09,87.8,9.17
96,327,Vila Velha,40,BR,1585581355,69,-20.33,-40.29,82.51,8.05
97,332,Kruisfontein,0,ZA,1585581356,62,-34.0,24.73,70.86,10.31
98,338,Los Negros,90,BO,1585581358,83,-17.73,-63.43,80.6,5.82
99,341,Mendi,100,PG,1585581359,56,-6.18,143.65,56.35,2.15
100,342,Riberalta,75,BO,1585581360,79,-10.98,-66.1,84.2,4.7
101,343,Lae,100,PG,1585581360,72,-6.72,146.98,78.91,3.98
102,345,Batemans Bay,71,AU,1585581360,85,-35.72,150.18,62.89,1.99
103,347,Santiago del Estero,94,AR,1585581361,78,-27.8,-64.26,75.79,5.82
104,349,Phalombe,11,MW,1585581362,59,-15.81,35.65,73.22,6.82
105,350,Yulara,49,AU,1585581362,32,-25.24,130.99,80.6,11.41
106,352,Tautira,20,PF,1585581362,78,-17.73,-149.15,78.4,3.36
107,353,Picos,98,BR,1585581363,67,-7.08,-41.47,83.75,5.88
108,359,Boa Viagem,78,BR,1585581365,67,-5.13,-39.73,84.81,5.39
109,361,Kavieng,100,PG,1585581366,77,-2.57,150.8,82.92,8.97
110,362,Karratha,0,AU,1585581366,49,-20.74,116.85,88.02,5.57
111,369,Katherine,66,AU,1585581368,54,-14.47,132.27,82.4,8.05
112,371,Codrington,0,AU,1585581369,87,-38.27,141.97,56.98,11.41
113,372,Tutóia,91,BR,1585581369,74,-2.76,-42.27,85.3,11.32
114,377,Buala,98,SB,1585581371,79,-8.14,159.59,82.6,8.16
115,379,Esperance,2,AU,1585581372,77,-33.87,121.9,59.0,5.82
116,380,Cidreira,0,BR,1585581372,63,-30.18,-50.21,81.01,7.56
117,383,Morón,40,AR,1585581152,83,-34.65,-58.62,79.66,8.05
118,389,Tadine,26,NC,1585581374,81,-21.55,167.88,74.19,17.69
119,391,Natal,75,BR,1585581375,88,-5.79,-35.21,80.6,5.82
120,398,La Paz,75,BO,1585581221,71,-16.5,-68.15,50.0,6.93
121,401,Tayu,100,ID,1585581378,83,-6.54,111.05,79.32,4.0
122,402,Ahipara,0,NZ,1585581378,83,-35.17,173.17,61.23,4.92
123,403,Mitsamiouli,60,KM,1585581378,76,-11.38,43.28,84.38,12.82
124,404,San Luis,53,AR,1585581379,41,-33.3,-66.34,79.36,11.86
125,408,Emerald,40,AU,1585581380,73,-23.53,148.17,73.78,6.93
126,409,Ambon City,20,ID,1585581305,88,-3.7,128.18,78.8,8.05
127,410,Flinders,90,AU,1585581381,88,-34.58,150.86,64.65,10.29
128,412,Mossamedes,0,AO,1585581381,70,-15.2,12.15,75.06,11.01
129,413,Isangel,99,VU,1585581381,83,-19.55,169.27,77.88,14.52
130,414,Poum,72,NC,1585581382,74,-20.23,164.02,78.42,15.21
131,421,Byron Bay,97,AU,1585581384,94,-28.65,153.62,68.31,3.36
132,424,Mthatha,59,ZA,1585581385,57,-31.59,28.78,77.0,8.05
133,426,Mweka,41,CD,1585581385,47,-4.85,21.57,85.46,4.21
134,427,Baturaja,100,ID,1585581151,92,-4.13,104.17,75.69,1.48
